Date,Close Price,WAP,No.of Shares,No. of Trades,% Deli. Qty to Traded Qty,Change,%Change,Volatilty ,Annualized volatility,moving_average
23-Feb-17,733.35,736.7843588,1739,98,66.88,-0.008450514,-0.845051379,0.017583145,,
27-Feb-17,738.6,740.25,4024,219,57.6,0.007158928,0.715892821,0.017540604,,
28-Feb-17,742.1,742.1003683,2172,140,41.11,0.004738695,0.473869483,0.017536329,,
01-Mar-17,746.8,747.3040099,3217,120,81.35,0.006333378,0.633337825,0.01752499,,
02-Mar-17,740.15,749.1568306,1830,126,68.09,-0.00890466,-0.890465988,0.017543281,,
03-Mar-17,731.8,734.2635207,1886,123,62.3,-0.011281497,-1.128149699,0.017557524,,
06-Mar-17,749.65,746.6686047,2580,182,68.33,0.02439191,2.439191036,0.017671544,,
07-Mar-17,744.1,747.9150872,3957,218,10.59,-0.007403455,-0.740345495,0.017682235,,
08-Mar-17,750,748.3643293,7872,114,94.25,0.007929042,0.79290418,0.017695911,,
09-Mar-17,759.4,755.2413673,5763,211,83.93,0.012533333,1.253333333,0.017731184,,
10-Mar-17,756.45,757.5102041,2254,164,57.76,-0.003884646,-0.388464577,0.017453899,,
14-Mar-17,763.1,765.3827524,4418,250,38.68,0.008791064,0.879106352,0.017326644,,
15-Mar-17,771.25,771.7404927,26427,366,20.06,0.010680121,1.068012056,0.017325051,,
