Date,Close Price,WAP,No.of Shares,No. of Trades,Deliverable Quantity,Change,%Change,VOLATILITY,ANNUALIZED VOLATILITY,Notes,Moving average,Count
01-Jan-16,227.65,226.8492571,1116988,8587,223551,,,,,,,
04-Jan-16,220.95,222.7682578,1712144,17606,645428,-0.029431144,-2.94311443,,,,,
05-Jan-16,218.25,219.7587889,1967198,24503,568512,-0.012219959,-1.221995927,,,,,
06-Jan-16,217,218.0058954,1495570,13802,377208,-0.005727377,-0.572737686,,,,,
07-Jan-16,209.55,210.8899948,2310928,21868,800334,-0.034331797,-3.433179724,,,,,
08-Jan-16,208.95,210.117761,1498892,15400,513094,-0.002863278,-0.286327845,,,,,
11-Jan-16,204.3,204.6885976,2215131,19032,647798,-0.022254128,-2.225412778,,,,,
12-Jan-16,199.85,201.4559361,2294892,24073,798744,-0.021781694,-2.178169359,,,,,
13-Jan-16,200.95,198.8087264,2839483,23714,685973,0.005504128,0.55041281,,,,,
14-Jan-16,195.8,197.4292229,2100876,22877,478259,-0.025628266,-2.562826574,,,,,
15-Jan-16,184.75,190.100908,3289601,36005,1163483,-0.056435138,-5.64351379,,,,,
18-Jan-16,181.1,183.480786,3987880,34244,1333826,-0.019756428,-1.97564276,,,,,
19-Jan-16,183.1,184.1030783,2348244,20983,547796,0.011043622,1.104362231,,,,,
20-Jan-16,173.7,175.2104122,3560531,34175,1334237,-0.051338067,-5.133806663,,,,,
21-Jan-16,175.85,175.5789458,3304691,30843,679546,0.012377663,1.237766264,,,,,
22-Jan-16,184.3,182.5161058,2513103,23707,645353,0.048052317,4.805231732,,,,,
25-Jan-16,182.9,185.3112702,1700105,15951,564171,-0.00759631,-0.759631036,,,,,
27-Jan-16,184.3,183.8551501,2380658,19803,868117,0.007654456,0.765445599,,,,,
28-Jan-16,185.35,184.4030605,1244585,11543,336757,0.005697233,0.569723277,,,,,
29-Jan-16,179.95,180.6231143,2795659,22178,698753,-0.029134071,-2.913407068,,,,,
01-Feb-16,172.9,175.5435109,2805484,27377,1027347,-0.039177549,-3.917754932,,,,,
02-Feb-16,169.45,172.6235409,3963363,40891,779333,-0.01995373,-1.995373048,,,,,
03-Feb-16,166.05,165.811245,3399078,29317,923704,-0.020064916,-2.00649159,,,,,
04-Feb-16,163.05,164.8566302,2595289,24702,635208,-0.018066847,-1.806684734,,,,,
05-Feb-16,168.2,166.1274773,2475508,19875,755217,0.031585403,3.158540325,,,,,
08-Feb-16,172.05,173.6925983,2909278,26124,563930,0.022889417,2.288941736,,,,,
09-Feb-16,167,168.7878457,2672324,20775,450010,-0.029351933,-2.935193258,,,,,
