Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
07-March-2018,255.95,255.95,246,246.65,248.7045117,2370683,14479,589599558,1142292,48.18,9.95,-9.3
08-March-2018,247,257.5,244.4,256.75,251.6597298,1871880,14220,471076815,337373,18.02,13.1,9.75
09-March-2018,257.05,257.55,251.9,253.15,253.9026579,970104,7431,246311984,143334,14.78,5.65,-3.9
12-March-2018,254,255,247.4,252.85,250.641123,1189923,9886,298243637,348792,29.31,7.6,-1.15
13-March-2018,251.85,262.4,250,254.9,256.9572906,2170015,14519,557601175,336322,15.5,12.4,3.05
14-March-2018,252.05,257.6,250,257,254.0000304,1416650,9682,359829143,137968,9.74,7.6,4.95
15-March-2018,257.9,258.85,253.1,254.1,255.8539766,847186,6827,216755907,178696,21.09,5.75,-3.8
16-March-2018,253,255.6,250.5,252.6,253.2103801,1834475,13379,464508112,757155,41.27,5.1,-0.4
19-March-2018,253,253.8,246.1,248.1,248.898573,1074901,8707,267541325,269401,25.06,7.7,-4.9
20-March-2018,247,252.3,245.45,249.25,249.6173005,1135716,7562,283494362,257092,22.64,6.85,2.25
21-March-2018,251,254,247.2,247.7,250.80002,1581298,8213,396589570,598699,37.86,6.8,-3.3
22-March-2018,246.9,247.2,241,241.6,243.6139297,2448373,14205,596457768,874068,35.7,6.2,-5.3
23-March-2018,238.6,238.6,232.5,234.6,234.7603047,1993347,13791,467958749,673156,33.77,6.1,-4
26-March-2018,235,247.5,234.45,246.35,242.9816351,3101683,14649,753652007,1526210,49.21,13.05,11.35
27-March-2018,250.7,255.2,248.2,253.85,251.2389883,2726226,12231,684934262,1323253,48.54,7,3.15
28-March-2018,252.4,255.9,249.15,250.1,252.170884,1095310,9363,276205291,226861,20.71,6.75,-2.3
02-April-2018,251,251.95,245.15,246.3,247.2616275,819715,6465,202684065,181990,22.2,6.8,-4.7
03-April-2018,249.8,253,248.25,250.35,251.3085132,2233250,11768,561234737,1166127,52.22,4.75,0.55
04-April-2018,251,253,245.6,246.9,249.5002478,915994,6969,228540730,195872,21.38,7.4,-4.1
05-April-2018,251.2,261.6,250,258.4,255.4101761,1541677,12242,393759994,289557,18.78,11.6,7.2
06-April-2018,260,261.15,255,259.8,258.559315,3233693,10552,836101447,1886767,58.35,6.15,-0.2
09-April-2018,261.2,262.75,257.8,260.55,261.0226535,1675768,8400,437413410,579956,34.61,4.95,-0.65
10-April-2018,260.65,265.25,258.5,263.25,262.2135084,4251599,10672,1114826690,2801602,65.9,6.75,2.6
11-April-2018,263.25,263.25,256.5,257.3,258.4160438,858460,5882,221839837,199973,23.29,6.75,-5.95
12-April-2018,257,257.4,252.7,254.3,254.5194192,779024,6196,198276736,137161,17.61,4.7,-2.7
13-April-2018,254.05,256.05,250.15,251.2,252.6370333,1005847,7764,254114202,193955,19.28,5.9,-2.85
16-April-2018,249,251.5,247.5,249.3,249.3240418,582678,4992,145275634,125993,21.62,4,0.3
17-April-2018,251.5,252.55,246.8,248.2,249.32649,857524,6026,213803449,172222,20.08,5.75,-3.3
