variables,1,2,3,4,5
recommend,0.42,0.14,0.25,0.2,0
avail_service,0.32,0.22,0.21,0.26,0
open_again,0.47,0.13,0.21,0.2,0
negative,0.22,0.16,0.11,0.21,0.31
