variables,1,2,3,4,5
happy,0.08,0.12,0.14,0.34,0.33
pleased,0.08,0.12,0.14,0.43,0.24
disappointed,0.36,0.29,0.18,0.14,0.04
violated,0.39,0.31,0.14,0.09,0.08
grateful,0.08,0.14,0.45,0.26,0.08
info,0.25,0.27,0.13,0.22,0.14
commute,0.34,0.25,0.15,0.1,0.17
id,0.23,0.2,0.2,0.23,0.15
