variables,1,2,3,4,5
service,0.3,0.17,0.13,0.25,0.16
satisfaction,0.3,0.14,0.15,0.25,0.17
expectation,0.31,0.11,0.22,0.26,0.11
before_merger,0.27,0.16,0.28,0.17,0.13
