tweet,created
"@avdheshkumarmi5 We represent SBI Credit Cards. For banking related queries/feedbacks, please contact State bank of… https://t.co/2XLdmGY9jQ",01-12-2017
State Bank of India warned its Customers instead of Banning the Credit Card Crypto Purchases. To read more visit… https://t.co/UbDy43UO6L,26-12-2017
"@risinglolab , We represent SBI Credit Cards. For banking related queries/feedbacks, please contact State bank of I… https://t.co/kBPH70fZyU",25-01-2018
"@SKshreyask , We represent SBI Credit Cards. For banking related queries/feedbacks, please contact State bank of In… https://t.co/Rz3ttPEuVL",19-01-2018
"Fear psychosis? #PNBFraud after-effect? Or genuinely worried?
#StateBankOfIndia advertises in national newspaper to… https://t.co/f0DEYjW3EQ",11-12-2017
"@priyadarsanp9 For banking related queries/feedbacks, please contact State bank of India. You can get in touch with… https://t.co/jhxYZXuCFC",20-01-2018
"@priyadarsanp9 ,  We represent SBI Credit Cards. For banking related queries/feedbacks, please contact State bank o… https://t.co/jy7op8f0cf",06-01-2018
RT @Siddharth_318: @statebankofindia Few days back you justified that you are deducting minimum in order to maintain other charges like mai…,07-01-2018
3/5 #Review on #StateBankOfIndia by latinboy454 https://t.co/ZXhXNocjnM,02-01-2018
5/5 #Review on #StateBankOfIndia by vikram330 https://t.co/4VbYyTgcA6,06-01-2018
"#StateBankOfIndia 
Dear SBI bank, don't charge any kind of ATM cash withdrawal transaction fee from Mysuru people’s… https://t.co/o610PH1IaT",13-12-2017
Hope #SBI doesn’t increase lunch timing duration after reading this news :) #StateBankOfIndia #NiravModi https://t.co/MncZZgQJX2,30-12-2017
3/5 #Review on #StateBankOfIndia by harshitbehal2000 https://t.co/tx19r6dhSX,12-12-2017
"NHPS was the need of the hour: SBI
@StateBankofIndia
@SBI
@NHPS 

https://t.co/uTgG1m1Wkv https://t.co/Hhemd7xR2v",27-01-2018
"RT @RumiSikdar: Not to mention the #CGTMS scheme which is a bloody scam. whichever bank you talk about #StatebankofIndia, #PunjabNationalBa…",24-01-2018
"RT @firstpost: .#StateBankofIndia says it has an exposure of Rs 1,360 crore or $212 million debt in the #PunjabNationalBank LoU fraud case…",06-01-2018
"RT @firstpost: .#StateBankofIndia says it has an exposure of Rs 1,360 crore or $212 million debt in the #PunjabNationalBank LoU fraud case…",27-12-2017
"RT @firstpost: .#StateBankofIndia says it has an exposure of Rs 1,360 crore or $212 million debt in the #PunjabNationalBank LoU fraud case…",13-01-2018
"RT @firstpost: .#StateBankofIndia says it has an exposure of Rs 1,360 crore or $212 million debt in the #PunjabNationalBank LoU fraud case…",04-12-2017
".#StateBankofIndia says it has an exposure of Rs 1,360 crore or $212 million debt in the #PunjabNationalBank LoU fr… https://t.co/7ewJ8MX3kj",27-12-2017
4/5 #Review on #StateBankOfIndia by nagralesid https://t.co/C5L5JYR3UG,21-12-2017
